Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Government,Canada, Carretera , None , 1618.50 , 3.00 , 20.00 , 32370.00 , 0   , 32370.00 , 16185.00 , 16185.00 ,01/01/2014,1, January ,2014
Midmarket,Mexico, Carretera , None , 2470.00 , 3.00 , 15.00 , 37050.00 , 0   , 37050.00 , 24700.00 , 12350.00 ,01/06/2014,6, June ,2014
Channel Partners,Canada, Montana , None , 2518.00 , 5.00 , 12.00 , 30216.00 , 0   , 30216.00 , 7554.00 , 22662.00 ,01/06/2014,6, June ,2014
Midmarket,Mexico, Montana , None , 2470.00 , 5.00 , 15.00 , 37050.00 , 0   , 37050.00 , 24700.00 , 12350.00 ,01/06/2014,6, June ,2014
Enterprise,Canada, Montana , None , 2665.50 , 5.00 , 125.00 , 333187.50 , 0   , 333187.50 , 319860.00 , 13327.50 ,01/07/2014,7, July ,2014
Small Business,Mexico, Montana , None , 958.00 , 5.00 , 300.00 , 287400.00 , 0   , 287400.00 , 239500.00 , 47900.00 ,01/08/2014,8, August ,2014
Enterprise,Canada, Montana , None , 345.00 , 5.00 , 125.00 , 43125.00 , 0   , 43125.00 , 41400.00 , 1725.00 ,01/10/2013,10, October ,2013
Government,Canada, Paseo , None , 292.00 , 10.00 , 20.00 , 5840.00 , 0   , 5840.00 , 2920.00 , 2920.00 ,01/02/2014,2, February ,2014
Midmarket,Mexico, Paseo , None , 974.00 , 10.00 , 15.00 , 14610.00 , 0   , 14610.00 , 9740.00 , 4870.00 ,01/02/2014,2, February ,2014
Channel Partners,Canada, Paseo , None , 2518.00 , 10.00 , 12.00 , 30216.00 , 0   , 30216.00 , 7554.00 , 22662.00 ,01/06/2014,6, June ,2014
Government,Mexico, Paseo , None , 883.00 , 10.00 , 7.00 , 6181.00 , 0   , 6181.00 , 4415.00 , 1766.00 ,01/08/2014,8, August ,2014
Small Business,Mexico, Paseo , None , 788.00 , 10.00 , 300.00 , 236400.00 , 0   , 236400.00 , 197000.00 , 39400.00 ,01/09/2013,9, September ,2013
Midmarket,Mexico, Paseo , None , 2472.00 , 10.00 , 15.00 , 37080.00 , 0   , 37080.00 , 24720.00 , 12360.00 ,01/09/2014,9, September ,2014
Government,Canada, Paseo , None , 1725.00 , 10.00 , 350.00 , 603750.00 , 0   , 603750.00 , 448500.00 , 155250.00 ,01/11/2013,11, November ,2013
Midmarket,Canada, Paseo , None , 2152.00 , 10.00 , 15.00 , 32280.00 , 0   , 32280.00 , 21520.00 , 10760.00 ,01/12/2013,12, December ,2013
Government,Canada, Paseo , None , 1817.00 , 10.00 , 20.00 , 36340.00 , 0   , 36340.00 , 18170.00 , 18170.00 ,01/12/2014,12, December ,2014
Government,Mexico, Velo , None , 1493.00 , 120.00 , 7.00 , 10451.00 , 0   , 10451.00 , 7465.00 , 2986.00 ,01/01/2014,1, January ,2014
Enterprise,Canada, Velo , None , 345.00 , 120.00 , 125.00 , 43125.00 , 0   , 43125.00 , 41400.00 , 1725.00 ,01/10/2013,10, October ,2013
Small Business,Canada, VTT , None , 2001.00 , 250.00 , 300.00 , 600300.00 , 0   , 600300.00 , 500250.00 , 100050.00 ,01/02/2014,2, February ,2014
Government,Canada, VTT , None , 1817.00 , 250.00 , 20.00 , 36340.00 , 0   , 36340.00 , 18170.00 , 18170.00 ,01/12/2014,12, December ,2014
Government,Canada, VTT , Low , 1326.00 , 250.00 , 7.00 , 9282.00 , 92.82 , 9189.18 , 6630.00 , 2559.18 ,01/03/2014,3, March ,2014
Government,Mexico, Carretera , Low , 1210.00 , 3.00 , 350.00 , 423500.00 , 4235.00 , 419265.00 , 314600.00 , 104665.00 ,01/03/2014,3, March ,2014
Channel Partners,Canada, Carretera , Low , 1445.00 , 3.00 , 12.00 , 17340.00 , 173.40 , 17166.60 , 4335.00 , 12831.60 ,01/09/2014,9, September ,2014
Small Business,Mexico, Carretera , Low , 494.00 , 3.00 , 300.00 , 148200.00 , 1482.00 , 146718.00 , 123500.00 , 23218.00 ,01/10/2013,10, October ,2013
Government,Mexico, Carretera , Low , 1397.00 , 3.00 , 350.00 , 488950.00 , 4889.50 , 484060.50 , 363220.00 , 120840.50 ,01/10/2014,10, October ,2014
Midmarket,Mexico, Montana , Low , 2214.00 , 5.00 , 15.00 , 33210.00 , 332.10 , 32877.90 , 22140.00 , 10737.90 ,01/03/2014,3, March ,2014
Government,Canada, Montana , Low , 1830.00 , 5.00 , 7.00 , 12810.00 , 128.10 , 12681.90 , 9150.00 , 3531.90 ,01/08/2014,8, August ,2014
Enterprise,Mexico, Paseo , Low , 1823.00 , 10.00 , 125.00 , 227875.00 , 2278.75 , 225596.25 , 218760.00 , 6836.25 ,01/07/2014,7, July ,2014
Government,Mexico, Velo , Low , 362.00 , 120.00 , 7.00 , 2534.00 , 25.34 , 2508.66 , 1810.00 , 698.66 ,01/05/2014,5, May ,2014
Enterprise,Canada, Velo , Low , 923.00 , 120.00 , 125.00 , 115375.00 , 1153.75 , 114221.25 , 110760.00 , 3461.25 ,01/08/2014,8, August ,2014
Government,Canada, Velo , Low , 2092.00 , 120.00 , 7.00 , 14644.00 , 146.44 , 14497.56 , 10460.00 , 4037.56 ,01/11/2013,11, November ,2013
Government,Canada, VTT , Low , 943.50 , 250.00 , 350.00 , 330225.00 , 3302.25 , 326922.75 , 245310.00 , 81612.75 ,01/04/2014,4, April ,2014
Small Business,Mexico, VTT , Low , 494.00 , 250.00 , 300.00 , 148200.00 , 1482.00 , 146718.00 , 123500.00 , 23218.00 ,01/10/2013,10, October ,2013
Government,Mexico, VTT , Low , 1397.00 , 250.00 , 350.00 , 488950.00 , 4889.50 , 484060.50 , 363220.00 , 120840.50 ,01/10/2014,10, October ,2014
Enterprise,Canada, Carretera , Low , 742.50 , 3.00 , 125.00 , 92812.50 , 1856.25 , 90956.25 , 89100.00 , 1856.25 ,01/04/2014,4, April ,2014
Channel Partners,Canada, Carretera , Low , 1295.00 , 3.00 , 12.00 , 15540.00 , 310.80 , 15229.20 , 3885.00 , 11344.20 ,01/10/2014,10, October ,2014
Government,Canada, Carretera , Low , 2852.00 , 3.00 , 350.00 , 998200.00 , 19964.00 , 978236.00 , 741520.00 , 236716.00 ,01/12/2014,12, December ,2014
Channel Partners,Mexico, Montana , Low , 690.00 , 5.00 , 12.00 , 8280.00 , 165.60 , 8114.40 , 2070.00 , 6044.40 ,01/11/2014,11, November ,2014
Enterprise,Mexico, Montana , Low , 1660.00 , 5.00 , 125.00 , 207500.00 , 4150.00 , 203350.00 , 199200.00 , 4150.00 ,01/11/2013,11, November ,2013
Midmarket,Canada, Paseo , Low , 2363.00 , 10.00 , 15.00 , 35445.00 , 708.90 , 34736.10 , 23630.00 , 11106.10 ,01/02/2014,2, February ,2014
Enterprise,Mexico, Paseo , Low , 662.00 , 10.00 , 125.00 , 82750.00 , 1655.00 , 81095.00 , 79440.00 , 1655.00 ,01/06/2014,6, June ,2014
Channel Partners,Canada, Paseo , Low , 1295.00 , 10.00 , 12.00 , 15540.00 , 310.80 , 15229.20 , 3885.00 , 11344.20 ,01/10/2014,10, October ,2014
Enterprise,Mexico, Paseo , Low , 2145.00 , 10.00 , 125.00 , 268125.00 , 5362.50 , 262762.50 , 257400.00 , 5362.50 ,01/10/2013,10, October ,2013
Small Business,Canada, Paseo , Low , 1916.00 , 10.00 , 300.00 , 574800.00 , 11496.00 , 563304.00 , 479000.00 , 84304.00 ,01/12/2014,12, December ,2014
Government,Canada, Paseo , Low , 2852.00 , 10.00 , 350.00 , 998200.00 , 19964.00 , 978236.00 , 741520.00 , 236716.00 ,01/12/2014,12, December ,2014
Enterprise,Canada, Paseo , Low , 2729.00 , 10.00 , 125.00 , 341125.00 , 6822.50 , 334302.50 , 327480.00 , 6822.50 ,01/12/2014,12, December ,2014
Channel Partners,Mexico, Paseo , Low , 1084.00 , 10.00 , 12.00 , 13008.00 , 260.16 , 12747.84 , 3252.00 , 9495.84 ,01/12/2014,12, December ,2014
Enterprise,Mexico, Velo , Low , 2145.00 , 120.00 , 125.00 , 268125.00 , 5362.50 , 262762.50 , 257400.00 , 5362.50 ,01/10/2013,10, October ,2013
Government,Mexico, Velo , Low , 544.00 , 120.00 , 20.00 , 10880.00 , 217.60 , 10662.40 , 5440.00 , 5222.40 ,01/12/2013,12, December ,2013
Channel Partners,Mexico, Velo , Low , 1084.00 , 120.00 , 12.00 , 13008.00 , 260.16 , 12747.84 , 3252.00 , 9495.84 ,01/12/2014,12, December ,2014
Enterprise,Mexico, VTT , Low , 662.00 , 250.00 , 125.00 , 82750.00 , 1655.00 , 81095.00 , 79440.00 , 1655.00 ,01/06/2014,6, June ,2014
Enterprise,Canada, VTT , Low , 2729.00 , 250.00 , 125.00 , 341125.00 , 6822.50 , 334302.50 , 327480.00 , 6822.50 ,01/12/2014,12, December ,2014
Government,Mexico, VTT , Low , 1940.00 , 250.00 , 350.00 , 679000.00 , 13580.00 , 665420.00 , 504400.00 , 161020.00 ,01/12/2013,12, December ,2013
Small Business,Mexico, Amarilla , Low , 1101.00 , 260.00 , 300.00 , 330300.00 , 6606.00 , 323694.00 , 275250.00 , 48444.00 ,01/03/2014,3, March ,2014
Small Business,Canada, Amarilla , Low , 1916.00 , 260.00 , 300.00 , 574800.00 , 11496.00 , 563304.00 , 479000.00 , 84304.00 ,01/12/2014,12, December ,2014
Channel Partners,Canada, Carretera , Low , 908.00 , 3.00 , 12.00 , 10896.00 , 326.88 , 10569.12 , 2724.00 , 7845.12 ,01/12/2013,12, December ,2013
Enterprise,Canada, Paseo , Low , 1774.00 , 10.00 , 125.00 , 221750.00 , 6652.50 , 215097.50 , 212880.00 , 2217.50 ,01/03/2014,3, March ,2014
Enterprise,Canada, Paseo , Low , 2009.00 , 10.00 , 125.00 , 251125.00 , 7533.75 , 243591.25 , 241080.00 , 2511.25 ,01/10/2014,10, October ,2014
Enterprise,Canada, Velo , Low , 2009.00 , 120.00 , 125.00 , 251125.00 , 7533.75 , 243591.25 , 241080.00 , 2511.25 ,01/10/2014,10, October ,2014
Channel Partners,Mexico, VTT , Low , 1916.00 , 250.00 , 12.00 , 22992.00 , 689.76 , 22302.24 , 5748.00 , 16554.24 ,01/04/2014,4, April ,2014
