Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Government,Canada, Carretera , None ,1341.0,79.77375188619624,20.630323220546266,27665.263438752543,7044.6411317840575,20620.622306968486,106976.60127938916,-86355.97897242068,01/05/2013,5,May,2013
Government,Germany, Carretera , None ,141.0,6.641404814461763,31.357312557078565,4421.381070548077,6518.491783225281,-2097.110712677204,936.4380788391085,-3033.5487915163126,01/10/2014,10,October,2014
Midmarket,France, Carretera , None ,566.0,2.771456176563132,123.63273307695249,69976.12692155511,548.3612913727961,69427.76563018232,1568.6441959347326,67859.12143424759,01/08/2014,8,August,2014
Midmarket,Germany, Carretera , None ,3286.0,287.20129712724645,327.6844158486988,1076770.9904788241,1144.1954365665952,1075626.7950422575,943743.4623601318,131883.33268212574,01/09/2014,9,September,2014
Midmarket,Mexico, Carretera , None ,3578.0,1.514401237726248,113.11386140631234,404721.39611178555,2062.4892688706013,402658.90684291493,5418.527628584515,397240.3792143304,01/10/2013,10,October,2013
Government,Germany, Carretera , None ,432.0,74.3623294134909,0.21099405098581414,91.14943002587171,2043.7334372997461,-1952.5840072738745,32124.526306628068,-34077.11031390194,01/05/2014,5,May,2014
Midmarket,Germany, Montana , None ,1424.0,221.37978959820845,27.88271142227562,39704.981065320484,5077.30276860961,34627.678296710874,315244.8203878488,-280617.14209113794,01/09/2013,9,September,2013
Channel Partners,Canada, Montana , None ,687.0,17.42795481683174,315.7650956313185,216930.62069871582,38045.552138377796,178885.06856033803,11973.004959163405,166912.06360117462,01/03/2014,3,March,2014
Government,France, Montana , None ,1817.0,97.9374106977283,238.47609506836815,433311.0647392249,1111.9452505306463,432199.11948869424,177952.27523777232,254246.84425092192,01/11/2014,11,November,2014
Channel Partners,Germany, Montana , None ,1575.0,212.79161275425915,85.77092178030512,135089.20180398057,5300.596281839268,129788.6055221413,335146.79008795816,-205358.18456581686,01/09/2014,9,September,2014
Midmarket,Mexico, Montana , None ,2168.0,2.7540716857197145,139.3475796704278,302105.55272548745,1111.159845332203,300994.39288015524,5970.827414640341,295023.5654655149,01/05/2013,5,May,2013
Enterprise,Canada, Montana , None ,1082.0,3.7195211247408637,112.70788966789566,121949.9366206631,2324.0829334412592,119625.85368722184,4024.5218569696144,115601.33183025222,01/11/2014,11,November,2014
