Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Government,United States of America, Amarilla , None ,1536.0,283.34174048911865,368.3063107046795,565718.4932423877,2019.4805324745466,563699.0127099131,435212.9133912863,128486.0993186268,01/12/2014,12,December,2014
Enterprise,United States of America, Carretera , Low ,170.0,281.30957569595006,83.18492671916287,14141.437542257689,58247.553240685374,-44106.11569842769,47822.62786831151,-91928.7435667392,01/04/2014,4,April,2014
Enterprise,France, Paseo , Low ,573.0,111.9651070303992,34.53824005038185,19790.4115488688,24713.734714912316,-4923.323166043516,64156.00632841874,-69079.32949446226,01/12/2013,12,December,2013
Government,United States of America, VTT , Low ,2873.0,21.353995238138058,161.4067780006472,463721.67319585936,20584.973617198302,443136.69957866106,61350.02831917064,381786.6712594904,01/04/2014,4,April,2014
Enterprise,Mexico, Paseo , Low ,4584.0,8.969675240641342,384.2404496721982,1761358.2212973568,27335.97687590603,1734022.2444214507,41116.99130309991,1692905.2531183506,01/06/2014,6,June,2014
Midmarket,France, Paseo , Low ,4584.0,241.77031612488736,255.80311969817404,1172601.5006964297,68094.79361516015,1104506.7070812697,1108275.1291164837,-3768.4220352140255,01/07/2013,7,July,2013
Government,France, Amarilla , None ,3715.0,168.33200791904326,262.59439651488833,975538.1830528101,1335.4971424222188,974202.6859103879,625353.4094192457,348849.2764911422,01/10/2014,10,October,2014
Small Business,Germany, Carretera , Low ,2690.0,19.264866212757653,20.17639357686558,54274.4987217684,17312.288467274255,36962.210254494144,51822.49011231809,-14860.279857823945,01/02/2014,2,February,2014
Small Business,Canada, Amarilla , Low ,5290.0,16.205781722360804,297.4641938144349,1573585.5852783606,22651.961182913776,1550933.624095447,85728.58531128865,1465205.0387841582,01/04/2013,4,April,2013
Enterprise,United States of America, Velo , Low ,5003.0,118.02490324524362,316.584390308751,1583871.7047146813,1290.9521342709522,1582580.7525804103,590478.5909359539,992102.1616444564,01/02/2013,2,February,2013
Midmarket,Germany, Paseo , Low ,1353.0,312.08729958190594,18.99759165657781,25703.741511349777,911.000702340533,24792.740809009243,422254.1163343187,-397461.3755253095,01/10/2014,10,October,2014
Government,United States of America, Carretera , Low ,811.0,108.8099366296378,298.85060600116634,242367.84146694592,8986.108166034417,233381.7333009115,88244.85860663626,145136.87469427523,01/07/2013,7,July,2013
Enterprise,France, VTT , Low ,3680.0,31.038031286628925,128.8137081498086,474034.4459912957,7183.958360545606,466850.48763075005,114219.95513479445,352630.5324959556,01/11/2014,11,November,2014
Channel Partners,Canada, Carretera , Low ,24.0,30.813591195940532,210.80972336836413,5059.43336084074,27837.97936246611,-22778.54600162537,739.5261887025728,-23518.072190327945,01/09/2014,9,September,2014
Government,Germany, Velo , Low ,1709.0,302.3918168038258,218.90299983004502,374105.2267095469,702.4097612524508,373402.81694829446,516787.6149177383,-143384.79796944384,01/12/2014,12,December,2014
Government,Germany, Amarilla , Low ,1848.0,36.6570346496193,9.276200989448984,17142.419428501722,35775.32750802687,-18632.90807952515,67742.20003249646,-86375.10811202161,01/11/2013,11,November,2013
Enterprise,France, Carretera , Low ,2089.0,297.29351479987906,67.80657558625725,141647.9363996914,5534.918836612367,136113.01756307902,621046.1524169474,-484933.1348538684,01/05/2014,5,May,2014
Midmarket,France, VTT , None ,3122.0,263.44098744045664,96.92837433448082,302610.38467224914,27859.727095326452,274750.6575769227,822462.7627891056,-547712.105212183,01/12/2013,12,December,2013
Midmarket,United States of America, Montana , None ,1488.0,27.51691469504584,19.09775994790249,28417.466802478903,1635.3385301246044,26782.128272354297,40945.16906622821,-14163.040793873915,01/08/2013,8,August,2013
Government,Mexico, Velo , Low ,813.0,133.0684558023408,36.709578952136255,29844.887688086776,4474.163482320797,25370.72420576598,108184.65456730306,-82813.93036153709,01/01/2013,1,January,2013
Enterprise,Canada, Carretera , Low ,-124.0,170.5806061606892,351.0286175158225,-43527.54857196199,561.526826994273,-44089.075398956265,-21151.99516392546,-22937.080235030804,01/07/2014,7,July,2014
Government,Germany, Carretera , Low ,3022.0,302.22902234189394,6.360264070892523,19220.718022237204,33379.582327447104,-14158.8643052099,913336.1055172035,-927494.9698224134,01/06/2013,6,June,2013
Government,Mexico, VTT , Low ,547.0,198.97460265378402,378.4877385714574,207032.7929985872,7207.405721098545,199825.38727748865,108839.10765161985,90986.2796258688,01/12/2013,12,December,2013
Enterprise,Mexico, Paseo , Low ,2430.0,34.33902149250055,203.1262088816168,493596.68758232886,23163.84344249784,470432.844139831,83443.82222677633,386989.0219130547,01/12/2014,12,December,2014
Enterprise,Mexico, Montana , Low ,414.0,156.29450880172,355.280600613903,147086.16865415583,25488.523610745906,121597.64504340992,64705.926643912084,56891.71839949784,01/10/2013,10,October,2013
Government,Germany, Velo , Low ,56.0,238.02947159708796,282.53905445012157,15822.187049206808,8840.53336518944,6981.6536840173685,13329.650409436927,-6347.996725419558,01/03/2014,3,March,2014
Enterprise,Canada, Montana , None ,2290.0,139.1812998547769,22.694567672465823,51970.559969946735,10190.292567918506,41780.26740202823,318725.1766674391,-276944.90926541085,01/07/2014,7,July,2014
Government,Canada, Paseo , None ,1496.0,35.96395972358687,22.6462185754796,33878.74298891748,49460.2079220665,-15581.464933149015,53802.08374648595,-69383.54867963496,01/12/2013,12,December,2013
Channel Partners,United States of America, Carretera , Low ,1740.0,152.8989741784621,114.43483129044239,199116.60644536975,18195.801017869133,180920.80542750063,266044.2150705241,-85123.40964302345,01/09/2014,9,September,2014
Government,Germany, Paseo , None ,4532.0,164.15542131455413,142.81534114913953,647239.1260879004,394.5210568973141,646844.605031003,743952.3693975593,-97107.76436655631,01/02/2013,2,February,2013
Midmarket,Canada, Paseo , Low ,1562.0,270.3061565333276,22.227115162918892,34718.75388447931,3335.5971188640897,31383.15676561522,422218.21650505776,-390835.05973944254,01/05/2013,5,May,2013
Government,France, Velo , Low ,4259.0,129.9225261341552,293.5097975108006,1250058.2275984997,933.1336996109857,1249125.0938988887,553340.038805367,695785.0550935217,01/10/2013,10,October,2013
Midmarket,France, Paseo , Low ,1384.0,288.30973182641964,264.23768495459876,365704.9559771647,4550.126998859192,361154.8289783055,399020.6688477648,-37865.839869459276,01/12/2013,12,December,2013
Enterprise,Germany, Velo , Low ,202.0,175.84389463283918,351.41619019779705,70986.07041995501,1039.0960660308058,69946.9743539242,35520.466715833514,34426.50763809069,01/09/2014,9,September,2014
Government,United States of America, Velo , Low ,2342.0,318.67315475603067,3.601391238510338,8434.458280591212,23132.012236388353,-14697.55395579714,746332.5284386239,-761030.082394421,01/04/2013,4,April,2013
Small Business,United States of America, Paseo , Low ,2206.0,17.166790327005835,1.4653837581891462,3232.6365705652565,228.77405617578484,3003.8625143894715,37869.939461374874,-34866.0769469854,01/10/2013,10,October,2013
Government,Canada, Montana , Low ,1085.0,262.56454982146397,275.8209937014252,299265.77816604637,33434.464356329605,265831.3138097168,284882.5365562884,-19051.222746571642,01/12/2013,12,December,2013
Enterprise,Canada, Paseo , Low ,5045.0,241.77254754063168,271.28291445030646,1368622.3034017961,25119.956740266105,1343502.34666153,1219742.5023424868,123759.84431904322,01/11/2013,11,November,2013
Government,France, Montana , Low ,1598.0,26.00856037364084,247.08807236538163,394846.73963987984,32552.88204342599,362293.85759645386,41561.67947707806,320732.1781193758,01/11/2013,11,November,2013
Government,Canada, Carretera , Low ,567.0,251.23609430417034,299.71622376069865,169939.09887231613,7315.496830358112,162623.60204195802,142450.86547046457,20172.736571493442,01/09/2014,9,September,2014
Enterprise,Germany, Paseo , Low ,1352.0,237.22654601354083,137.72776671247252,186207.94059526283,8958.369876251949,177249.5707190109,320730.29021030717,-143480.71949129627,01/01/2013,1,January,2013
Government,France, Carretera , Low ,788.0,270.238501785067,99.46482505075844,78378.28213999765,3891.507232947235,74486.77490705042,212947.9394066328,-138461.16449958237,01/01/2013,1,January,2013
Government,Canada, Amarilla , Low ,1193.0,295.7436969614754,10.04249523976765,11980.696821042806,3932.518388608918,8048.178432433888,352822.23047504015,-344774.0520426063,01/12/2013,12,December,2013
Government,Mexico, Carretera , Low ,1924.0,277.3994187365301,350.97072532011936,675267.6755159097,1432.6612203532775,673835.0142955563,533716.4816490839,140118.53264647245,01/04/2013,4,April,2013
Channel Partners,United States of America, Velo , Low ,661.0,261.8694365872459,9.008429170677314,5954.571681817704,8541.956539712772,-2587.3848578950674,173095.69758416954,-175683.0824420646,01/09/2013,9,September,2013
Government,France, VTT , Low ,1279.0,74.91085984819097,100.18122363351986,128131.78502727191,29403.472920008455,98728.31210726345,95810.98974583624,2917.3223614272138,01/04/2013,4,April,2013
Midmarket,Mexico, Montana , Low ,1590.0,39.5793704897065,22.711162184292853,36110.74787302563,1180.4176704953898,34930.33020253024,62931.19907863333,-28000.868876103093,01/12/2014,12,December,2014
Government,United States of America, VTT , Low ,858.0,211.88523879309963,245.32856959691412,210491.9127141523,12101.730192344152,198390.18252180816,181797.53488447948,16592.647637328686,01/04/2013,4,April,2013
Government,France, Carretera , Low ,1929.0,129.66892450911115,278.32228774673024,536883.6930634426,21117.81951733349,515765.8735461091,250131.35537807542,265634.5181680337,01/04/2013,4,April,2013
Government,United States of America, Paseo , Low ,3147.0,1.8703490977462458,203.32521104151806,639864.4391476574,919.5506436680666,638944.8885039893,5885.9886106074355,633058.8998933819,01/10/2014,10,October,2014
Channel Partners,Canada, Paseo , None ,968.0,291.47259524876824,0.3071079974750148,297.28054155581435,2979.477872930389,-2682.197331374575,282145.47220080765,-284827.6695321822,01/06/2013,6,June,2013
Government,Germany, Amarilla , None ,1567.0,110.96509595345363,268.60589369557715,420905.4354209694,10017.096794430086,410888.3386265393,173882.30535906184,237006.03326747744,01/06/2014,6,June,2014
Enterprise,Germany, Paseo , Low ,2285.0,313.43466194405005,15.254735753435396,34857.07119659988,93720.87869581269,-58863.80749921281,716198.2025421544,-775062.0100413671,01/02/2014,2,February,2014
Channel Partners,United States of America, Paseo , Low ,2501.0,274.22253623337815,73.553709971441,183957.82863857393,2821.0655040933984,181136.76313448054,685830.5631196788,-504693.7999851982,01/07/2014,7,July,2014
Channel Partners,United States of America, Amarilla , None ,3533.0,148.9819411528528,28.552893134227382,100877.37144322535,1140.8868036071722,99736.48463961818,526353.198093029,-426616.7134534108,01/01/2014,1,January,2014
Government,Canada, Paseo , None ,5922.0,25.958144794009467,12.933297524408331,76590.98793954613,29272.718752316807,47318.26918722932,153724.13347012407,-106405.86428289475,01/12/2013,12,December,2013
Small Business,Germany, Amarilla , Low ,1704.0,298.47253927292434,22.371266782279577,38120.6385970044,523.3798379030952,37597.25875910131,508597.2069210631,-470999.94816196174,01/12/2013,12,December,2013
Enterprise,Germany, VTT , Low ,2651.0,13.386005990936564,54.35179343399926,144086.60439353203,3680.85743877589,140405.74695475615,35486.30188197283,104919.44507278332,01/09/2014,9,September,2014
Midmarket,United States of America, Paseo , Low ,1151.0,26.264031484732094,374.61920301961163,431186.702675573,248.66553869938775,430938.03713687364,30229.90023892664,400708.136897947,01/10/2014,10,October,2014
Channel Partners,Mexico, Velo , Low ,3634.0,249.3711815196788,116.59372352202057,423701.59127902274,3652.3654093217374,420049.225869701,906214.8736425127,-486165.6477728117,01/10/2013,10,October,2013
Midmarket,France, Paseo , None ,2036.0,217.74863693294617,11.042778418446,22483.096859956055,21761.354311586914,721.7425483691404,443336.2247954784,-442614.48224710923,01/12/2013,12,December,2013
Government,France, Paseo , Low ,3273.0,41.83508572146076,217.60601008662957,712224.4710135385,11.463372802717004,712213.0076407358,136926.23556634106,575286.7720743947,01/01/2014,1,January,2014
Enterprise,Canada, Paseo , Low ,3005.0,259.7313325728008,172.34575497673706,517898.99370509485,4822.347571078907,513076.64613401593,780492.6543812664,-267416.0082472505,01/03/2014,3,March,2014
Small Business,Germany, Montana , Low ,167.0,143.13670178403646,95.22064379858476,15901.847514363655,831.6519060688177,15070.195608294838,23903.82919793409,-8833.633589639252,01/11/2014,11,November,2014
Government,United States of America, Paseo , Low ,916.0,239.2373281972649,270.7057348709603,247966.45314179966,28551.956379874016,219414.49676192563,219141.39262869465,273.1041332309833,01/06/2013,6,June,2013
Enterprise,Canada, Velo , Low ,1835.0,325.57510566333826,253.2186576665936,464656.2368181993,16453.16380139083,448203.0730168084,597430.3188922257,-149227.2458754173,01/09/2014,9,September,2014
Government,Canada, Paseo , Low ,239.0,137.692722848855,342.23729024568047,81794.71236871764,41357.42045107664,40437.29191764099,32908.560760876346,7528.731156764647,01/06/2013,6,June,2013
Enterprise,Mexico, VTT , Low ,2254.0,269.30933854935415,243.850381625578,549638.7601840527,2565.6281396551494,547073.1320443976,607023.2490902443,-59950.11704584665,01/11/2014,11,November,2014
Small Business,Germany, Paseo , Low ,520.0,301.17509473300385,275.96290470679287,143500.7104475323,15627.3790238241,127873.3314237082,156611.049261162,-28737.717837453805,01/04/2013,4,April,2013
Channel Partners,United States of America, Amarilla , None ,3098.0,102.92083743180504,127.53380909085367,395099.74056346464,16951.42617228711,378148.31439117756,318848.754363732,59299.56002744555,01/12/2013,12,December,2013
Government,Canada, Paseo , None ,672.0,294.8055765334684,27.67928118779829,18600.47695820045,1868.4360829760383,16732.04087522441,198109.34743049077,-181377.30655526638,01/10/2014,10,October,2014
Midmarket,Germany, VTT , None ,2953.0,40.94148994126192,303.04500238534564,894891.8920439257,7691.7949103639785,887200.0971335617,120900.21979654646,766299.8773370152,01/10/2013,10,October,2013
Government,Canada, Carretera , None ,3067.0,285.616658091815,127.63400756617409,391453.5012054559,25261.5237297193,366191.97747573664,875986.2903675965,-509794.3128918599,01/07/2013,7,July,2013
Government,Germany, Carretera , None ,1974.0,12.497250442950314,99.22796422731658,195876.0013847229,25321.515111743553,170554.48627297935,24669.57237438392,145884.91389859543,01/05/2014,5,May,2014
Channel Partners,France, Paseo , Low ,3129.0,320.50567304844316,372.2966678734684,1164916.2737760826,20405.104582288477,1144511.169193794,1002862.2509685786,141648.9182252154,01/09/2014,9,September,2014
Enterprise,Canada, Paseo , Low ,1887.0,97.56082235298672,150.74570407255158,284457.14358490484,57317.871168124104,227139.27241678073,184097.27178008592,43042.00063669481,01/07/2014,7,July,2014
Midmarket,United States of America, Paseo , Low ,2232.0,103.73692866662824,17.278108815213656,38564.73887555688,9946.751797529883,28617.987078027,231540.82478391426,-202922.83770588727,01/08/2013,8,August,2013
Government,Germany, Montana , None ,2256.0,127.9658324821435,363.4241050723015,819884.7810431122,21181.558362108786,798703.2226810034,288690.91807971575,510012.30460128764,01/11/2013,11,November,2013
Channel Partners,United States of America, Carretera , Low ,405.0,284.2043711336215,137.16271148087642,55550.898149754954,12963.379814412743,42587.51833534221,115102.77030911672,-72515.25197377452,01/10/2014,10,October,2014
Government,Canada, Paseo , Low ,203.0,152.62268842685083,78.55762861322286,15947.198608484241,9127.444532001336,6819.754076482905,30982.40575065072,-24162.651674167813,01/10/2013,10,October,2013
Channel Partners,Mexico, VTT , Low ,2216.0,277.30461581328905,12.65726003928431,28048.488247054032,6921.900187229228,21126.588059824804,614507.0286422485,-593380.4405824237,01/11/2014,11,November,2014
Midmarket,Germany, Carretera , None ,604.0,102.06355444761934,93.20463797310299,56295.6013357542,752.8060606455463,55542.795275108656,61646.38688636208,-6103.591611253425,01/03/2014,3,March,2014
Government,Germany, Montana , Low ,1759.0,30.590780606629348,225.4467639767156,396560.85783504276,7375.271531573419,389185.5863034693,53809.18308706102,335376.4032164083,01/09/2014,9,September,2014
Government,United States of America, Amarilla , Low ,1615.0,42.55285532061065,353.6308766908991,571113.865855802,78873.75489198642,492240.11096381553,68722.8613427862,423517.24962102936,01/09/2013,9,September,2013
Channel Partners,Mexico, Montana , Low ,30.0,152.23051123497882,294.9123413995007,8847.370241985021,18760.92955843284,-9913.559316447818,4566.915337049365,-14480.474653497182,01/06/2013,6,June,2013
Small Business,France, VTT , None ,5216.0,2.568323373177365,17.526073317276456,91415.998422914,5708.377858608816,85707.62056430518,13396.374714493135,72311.24584981204,01/10/2014,10,October,2014
Enterprise,United States of America, VTT , Low ,2149.0,8.698724374838525,161.50123176140752,347066.1470552648,251.434537700281,346814.71251756453,18693.55868152799,328121.15383603657,01/06/2014,6,June,2014
Enterprise,United States of America, Paseo , Low ,2172.0,33.193270541616975,0.6923477610156361,1503.7793369259616,2939.9256774800597,-1436.146340554098,72095.78361639207,-73531.92995694617,01/03/2013,3,March,2013
Enterprise,United States of America, Montana , Low ,3789.0,17.687230291824537,298.38285452891864,1130572.6358100728,100213.80635692921,1030358.8294531435,67016.91557572318,963341.9138774204,01/10/2014,10,October,2014
Government,Mexico, Velo , None ,1866.0,313.4903025894304,318.532300109957,594381.2720051798,53518.73903615402,540862.5329690258,584972.9046318772,-44110.37166285142,01/09/2014,9,September,2014
Enterprise,France, Paseo , Low ,1319.0,265.81408876905357,4.21635502235042,5561.372274480204,38038.27100301824,-32476.89872853804,350608.7830863817,-383085.6818149197,01/01/2013,1,January,2013
Midmarket,United States of America, Amarilla , None ,1677.0,142.3724451898422,164.55571465354222,275959.9334739903,56938.886927230946,219021.04654675935,238758.59058336538,-19737.544036606036,01/06/2014,6,June,2014
Small Business,United States of America, Paseo , Low ,2479.0,322.8609646124578,107.68121912224575,266941.7422040472,24134.565453808485,242807.17675023872,800372.3312742829,-557565.1545240441,01/03/2014,3,March,2014
Channel Partners,United States of America, Amarilla , Low ,2051.0,294.9891201522058,311.42249572127605,638727.5387243371,39204.32312814996,599523.2155961872,605022.6854321741,-5499.469835986965,01/07/2014,7,July,2014
Government,United States of America, Paseo , Low ,610.0,137.38613346705702,4.658486044803114,2841.6764873298994,57280.929236279975,-54439.25274895008,83805.54141490479,-138244.79416385485,01/11/2013,11,November,2013
Small Business,United States of America, Montana , Low ,1689.0,287.8999768243079,1.7710507686994639,2991.3047483333944,86641.65741128562,-83650.35266295222,486263.060856256,-569913.4135192082,01/10/2013,10,October,2013
Channel Partners,Canada, Carretera , Low ,2303.0,253.0004068914242,23.62981623114591,54419.46678032903,34239.180136288865,20180.286644040163,582659.9370709499,-562479.6504269098,01/01/2013,1,January,2013
Government,United States of America, Paseo , None ,1261.0,242.73687456356515,155.4612700983972,196036.66159407885,15624.579306830172,180412.0822872487,306091.1988246557,-125679.11653740698,01/11/2013,11,November,2013
