Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Government,Canada, Carretera , None ,1970.0,258.7264548601029,359.0183150749157,707266.0806975838,35940.90244698426,671325.1782505995,509691.11607440264,161634.0621761969,01/01/2014,1,January,2014
Midmarket,Mexico, Carretera , None ,1002.0,291.9378707658714,136.28433218646495,136556.90085083788,5056.141995479463,131500.7588553584,292521.74650740315,-161020.98765204474,01/09/2013,9,September,2013
Channel Partners,Canada, Montana , None ,2039.0,35.46307357667668,97.55544462726601,198915.5515949954,136164.91599099973,62750.63560399567,72309.20702284375,-9558.571418848078,01/06/2014,6,June,2014
Midmarket,Mexico, Montana , None ,1052.0,149.0671493369224,29.340548391876453,30866.25690825403,10328.434599583139,20537.82230867089,156818.64110244237,-136280.8187937715,01/07/2013,7,July,2013
Enterprise,Canada, Montana , None ,1181.0,32.28483515262402,26.267985584869557,31022.490975730947,7870.304315121422,23152.186660609525,38128.390315248966,-14976.203654639441,01/01/2013,1,January,2013
Small Business,Mexico, Montana , None ,582.0,306.2809084055771,399.69914558917543,232624.9027329001,4385.517820226851,228239.38491267327,178255.48869204588,49983.896220627386,01/08/2013,8,August,2013
Enterprise,Canada, Montana , None ,2129.0,11.800609484457055,11.126616748158831,23688.56705683015,12853.358073782385,10835.208983047765,25123.497592409072,-14288.288609361307,01/04/2014,4,April,2014
Government,Canada, Paseo , None ,1214.0,285.81267250202325,154.48187964909494,187541.00189400124,7305.694801094039,180235.3070929072,346976.58441745624,-166741.27732454904,01/10/2013,10,October,2013
Midmarket,Mexico, Paseo , None ,3562.0,33.44118199644964,158.71823523084333,565354.353892264,1228.9850904426735,564125.3688018213,119117.49027135363,445007.8785304676,01/08/2013,8,August,2013
Channel Partners,Canada, Paseo , None ,3255.0,170.24328892337448,147.70164560140364,480768.85643256886,4259.5120289213555,476509.3444036475,554141.905445584,-77632.56104193645,01/10/2014,10,October,2014
Government,Mexico, Paseo , None ,1231.0,90.26125604331068,182.7264236879317,224936.22755984394,23225.38019198029,201710.84736786367,111111.60618931545,90599.24117854821,01/04/2014,4,April,2014
Small Business,Mexico, Paseo , None ,697.0,152.63238614120814,16.60209072564644,11571.65723577557,3671.9537358490425,7899.703499926528,106384.77314042208,-98485.06964049555,01/02/2014,2,February,2014
Midmarket,Mexico, Paseo , None ,2160.0,141.5745256002604,105.14293215417749,227108.73345302336,10696.695047053156,216412.0384059702,305800.9752965624,-89388.93689059222,01/10/2013,10,October,2013
Government,Canada, Paseo , None ,1594.0,140.43857779820658,311.56793179276764,496639.2832776716,17218.27607182748,479421.00720584416,223859.09301034128,255561.91419550288,01/07/2013,7,July,2013
Midmarket,Canada, Paseo , None ,3331.0,140.73549339804188,15.098424013342198,50292.850388442865,10727.855283557008,39564.99510488586,468789.9285088775,-429224.9334039917,01/01/2013,1,January,2013
Government,Canada, Paseo , None ,3490.0,158.04730596098625,106.63957789968258,372172.1268698922,6368.864447153545,365803.26242273866,551585.097803842,-185781.8353811034,01/11/2014,11,November,2014
Government,Mexico, Velo , None ,1054.0,207.80043073514594,27.89489773428574,29401.22221193717,5645.572999148249,23755.64921278892,219021.65399484383,-195266.00478205492,01/09/2014,9,September,2014
Enterprise,Canada, Velo , None ,1597.0,285.4546489081996,63.33828665888278,101151.2437942358,6163.768545612049,94987.47524862374,455871.0743063948,-360883.59905777103,01/10/2014,10,October,2014
Small Business,Canada, VTT , None ,3178.0,161.03787577894738,129.21384866451794,410641.611055838,6378.1157297771315,404263.49532606086,511778.3692254948,-107514.87389943394,01/11/2014,11,November,2014
Government,Canada, VTT , None ,1935.0,7.615016475538212,42.49944316552309,82236.42252528718,4657.47319823107,77578.94932705612,14735.056880166441,62843.89244688968,01/06/2013,6,June,2013
Government,Canada, VTT , Low ,1782.0,21.84420587360122,403.1673546872623,718444.2260527014,29676.406472865983,688767.8195798354,38926.374866757375,649841.444713078,01/04/2014,4,April,2014
Government,Mexico, Carretera , Low ,1131.0,226.6899001674294,365.40628046262344,413274.5032032271,42391.431095014545,370883.07210821257,256386.27708936267,114496.7950188499,01/06/2014,6,June,2014
Channel Partners,Canada, Carretera , Low ,1837.0,201.94055284954203,379.2253442906885,696636.9574619947,7042.500954041767,689594.456507953,370964.7955846087,318629.6609233443,01/05/2013,5,May,2013
Small Business,Mexico, Carretera , Low ,2258.0,131.35845556254253,33.51210412505756,75670.33111437998,34359.84215119467,41310.48896318531,296607.392660221,-255296.9036970357,01/11/2013,11,November,2013
Government,Mexico, Carretera , Low ,2832.0,26.90054899309385,106.38583163784745,301284.675198384,10691.863623809153,290592.81157457485,76182.35474844178,214410.45682613307,01/09/2013,9,September,2013
Midmarket,Mexico, Montana , Low ,2370.0,234.52418584675715,159.93473505842323,379045.32208846306,19422.423580742743,359622.8985077203,555822.3204568145,-196199.42194909416,01/12/2013,12,December,2013
Government,Canada, Montana , Low ,850.0,102.92843727733865,403.7654471018668,343200.6300365868,1718.2805035460597,341482.3495330407,87489.17168573785,253993.17784730287,01/07/2014,7,July,2014
Enterprise,Mexico, Paseo , Low ,2133.0,280.2826163678238,40.9913516650356,87434.55310152094,3872.3795664086056,83562.17353511234,597842.8207125681,-514280.6471774558,01/09/2013,9,September,2013
Government,Mexico, Velo , Low ,1257.0,145.54220683146755,2.8129335349153397,3535.857453388582,9285.569078415812,-5749.71162502723,182946.5539871547,-188696.26561218195,01/11/2014,11,November,2014
Enterprise,Canada, Velo , Low ,1282.0,213.7353974661291,148.27724717062782,190091.43087274485,1477.2372394262866,188614.19363331856,274008.77955157746,-85394.5859182589,01/02/2013,2,February,2013
Government,Canada, Velo , Low ,2788.0,15.585057255946827,47.86150954134988,133437.88860128348,7981.913697117574,125455.97490416591,43451.13962957975,82004.83527458616,01/09/2013,9,September,2013
