Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Government,Germany, Carretera , None , 1321.00 , 3.00 , 20.00 , 26420.00 , 0   , 26420.00 , 13210.00 , 13210.00 ,01/01/2014,1, January ,2014
Midmarket,France, Carretera , None , 2178.00 , 3.00 , 15.00 , 32670.00 , 0   , 32670.00 , 21780.00 , 10890.00 ,01/06/2014,6, June ,2014
Midmarket,Germany, Carretera , None , 888.00 , 3.00 , 15.00 , 13320.00 , 0   , 13320.00 , 8880.00 , 4440.00 ,01/06/2014,6, June ,2014
Government,Germany, Carretera , None , 1513.00 , 3.00 , 350.00 , 529550.00 , 0   , 529550.00 , 393380.00 , 136170.00 ,01/12/2014,12, December ,2014
Midmarket,Germany, Montana , None , 921.00 , 5.00 , 15.00 , 13815.00 , 0   , 13815.00 , 9210.00 , 4605.00 ,01/03/2014,3, March ,2014
Government,France, Montana , None , 1899.00 , 5.00 , 20.00 , 37980.00 , 0   , 37980.00 , 18990.00 , 18990.00 ,01/06/2014,6, June ,2014
Channel Partners,Germany, Montana , None , 1545.00 , 5.00 , 12.00 , 18540.00 , 0   , 18540.00 , 4635.00 , 13905.00 ,01/06/2014,6, June ,2014
Government,Germany, Montana , None , 2146.00 , 5.00 , 7.00 , 15022.00 , 0   , 15022.00 , 10730.00 , 4292.00 ,01/09/2014,9, September ,2014
Government,Germany, Paseo , None , 1006.00 , 10.00 , 350.00 , 352100.00 , 0   , 352100.00 , 261560.00 , 90540.00 ,01/06/2014,6, June ,2014
Channel Partners,Germany, Paseo , None , 367.00 , 10.00 , 12.00 , 4404.00 , 0   , 4404.00 , 1101.00 , 3303.00 ,01/07/2014,7, July ,2014
Midmarket,France, Paseo , None , 549.00 , 10.00 , 15.00 , 8235.00 , 0   , 8235.00 , 5490.00 , 2745.00 ,01/09/2013,9, September ,2013
Government,Germany, Paseo , None , 1513.00 , 10.00 , 350.00 , 529550.00 , 0   , 529550.00 , 393380.00 , 136170.00 ,01/12/2014,12, December ,2014
Enterprise,France, Velo , None , 1804.00 , 120.00 , 125.00 , 225500.00 , 0   , 225500.00 , 216480.00 , 9020.00 ,01/02/2014,2, February ,2014
Channel Partners,Germany, Velo , None , 2161.00 , 120.00 , 12.00 , 25932.00 , 0   , 25932.00 , 6483.00 , 19449.00 ,01/03/2014,3, March ,2014
Government,Germany, Velo , None , 1006.00 , 120.00 , 350.00 , 352100.00 , 0   , 352100.00 , 261560.00 , 90540.00 ,01/06/2014,6, June ,2014
Channel Partners,Germany, Velo , None , 1545.00 , 120.00 , 12.00 , 18540.00 , 0   , 18540.00 , 4635.00 , 13905.00 ,01/06/2014,6, June ,2014
Channel Partners,Germany, VTT , None , 2838.00 , 250.00 , 12.00 , 34056.00 , 0   , 34056.00 , 8514.00 , 25542.00 ,01/04/2014,4, April ,2014
Midmarket,France, VTT , None , 2178.00 , 250.00 , 15.00 , 32670.00 , 0   , 32670.00 , 21780.00 , 10890.00 ,01/06/2014,6, June ,2014
Midmarket,Germany, VTT , None , 888.00 , 250.00 , 15.00 , 13320.00 , 0   , 13320.00 , 8880.00 , 4440.00 ,01/06/2014,6, June ,2014
Government,France, VTT , None , 1527.00 , 250.00 , 350.00 , 534450.00 , 0   , 534450.00 , 397020.00 , 137430.00 ,01/09/2013,9, September ,2013
Small Business,France, VTT , None , 2151.00 , 250.00 , 300.00 , 645300.00 , 0   , 645300.00 , 537750.00 , 107550.00 ,01/09/2014,9, September ,2014
Government,France, Amarilla , None , 2750.00 , 260.00 , 350.00 , 962500.00 , 0   , 962500.00 , 715000.00 , 247500.00 ,01/02/2014,2, February ,2014
Enterprise,Germany, Amarilla , None , 4219.50 , 260.00 , 125.00 , 527437.50 , 0   , 527437.50 , 506340.00 , 21097.50 ,01/04/2014,4, April ,2014
Government,France, Amarilla , None , 1899.00 , 260.00 , 20.00 , 37980.00 , 0   , 37980.00 , 18990.00 , 18990.00 ,01/06/2014,6, June ,2014
Government,Germany, Amarilla , None , 1686.00 , 260.00 , 7.00 , 11802.00 , 0   , 11802.00 , 8430.00 , 3372.00 ,01/07/2014,7, July ,2014
Government,France, Paseo , Low , 3945.00 , 10.00 , 7.00 , 27615.00 , 276.15 , 27338.85 , 19725.00 , 7613.85 ,01/01/2014,1, January ,2014
Midmarket,France, Paseo , Low , 2296.00 , 10.00 , 15.00 , 34440.00 , 344.40 , 34095.60 , 22960.00 , 11135.60 ,01/02/2014,2, February ,2014
Government,France, Paseo , Low , 1030.00 , 10.00 , 7.00 , 7210.00 , 72.10 , 7137.90 , 5150.00 , 1987.90 ,01/05/2014,5, May ,2014
Government,France, Velo , Low , 639.00 , 120.00 , 7.00 , 4473.00 , 44.73 , 4428.27 , 3195.00 , 1233.27 ,01/11/2014,11, November ,2014
