Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Small Business,France, VTT , Medium ,573.0,33.73074956667326,381.17970122790086,218415.9688035872,48007.346516509526,170408.62228707765,19327.719501703777,151080.90278537388,01/03/2014,3,March,2014
Small Business,Mexico, VTT , Medium ,1623.0,247.38816218850226,407.1101919047737,660739.8414614478,134572.63533162905,526167.2061298187,401510.98723193916,124656.21889787953,01/11/2014,11,November,2014
Enterprise,Canada, Amarilla , Medium ,1409.0,11.086513266346927,144.6710725637066,203841.54124226258,4171.285000263131,199670.25624199945,15620.89719228282,184049.35904971662,01/10/2014,10,October,2014
Government,France, Amarilla , Medium ,1937.0,19.965612542998958,375.7823830075697,727890.4758856625,10315.40701691158,717575.0688687509,38673.39149578898,678901.677372962,01/07/2014,7,July,2014
Enterprise,Germany, Amarilla , Medium ,-600.0,82.67174025110307,449.1165217048855,-269469.9130229313,2803.8011970091925,-272273.71421994054,-49603.044150661844,-222670.67006927868,01/11/2014,11,November,2014
Government,Canada, Amarilla , Medium ,-70.0,274.29329589928244,323.54472465431724,-22648.130725802206,52683.923090505705,-75332.05381630792,-19200.53071294977,-56131.52310335815,01/02/2014,2,February,2014
Small Business,United States of America, Amarilla , Medium ,1704.0,229.86063126756943,397.26299924042314,676936.1507056811,5623.067613760002,671313.083091921,391682.5156799383,279630.56741198275,01/03/2013,3,March,2013
Government,Canada, Montana , Medium ,838.0,224.8815191159527,384.9947912264447,322625.6350477607,30727.766949373505,291897.86809838715,188450.71301916835,103447.15507921879,01/11/2014,11,November,2014
Government,United States of America, Montana , Medium ,-221.0,10.140545435193738,377.09021064333086,-83336.93655217612,2262.6133765260106,-85599.54992870214,-2241.060541177816,-83358.48938752431,01/02/2014,2,February,2014
Government,Canada, Paseo , Medium ,-257.0,8.247252289006333,48.72862538721514,-12523.25672451429,49223.38017728509,-61746.636901799386,-2119.5438382746274,-59627.09306352476,01/01/2014,1,January,2014
Government,United States of America, Amarilla , Medium ,-259.0,3.92319957185211,442.63206006917966,-114641.70355791753,616.3719286449341,-115258.07548656246,-1016.1086891096965,-114241.96679745277,01/05/2013,5,May,2013
Enterprise,Mexico, Carretera , Medium ,184.0,274.9150802799506,287.62460640454924,52922.92757843706,807.1086960085231,52115.81888242854,50584.374771510906,1531.4441109176332,01/12/2013,12,December,2013
Midmarket,France, Carretera , Medium ,1941.0,6.834421228550395,138.86038556917265,269528.0083897641,3826.4663803624417,265701.54200940166,13265.611604616317,252435.93040478535,01/07/2014,7,July,2014
Government,Mexico, Carretera , Medium ,581.0,233.61866414322338,363.73231659812814,211328.47594351246,78851.36809277673,132477.10785073572,135732.44386721277,-3255.3360164770565,01/01/2014,1,January,2014
Midmarket,France, Montana , Medium ,175.0,229.69214681889684,131.7831925391869,23062.058694357707,71120.90487370544,-48058.84617934773,40196.125693306945,-88254.97187265469,01/07/2014,7,July,2014
Government,Canada, Montana , Medium ,2540.0,290.8289616195714,193.7719940875982,492180.8649824994,2038.6902875132623,490142.17469498614,738705.5625137113,-248563.38781872514,01/08/2014,8,August,2014
Government,Germany, Montana , Medium ,2205.0,11.570036949738359,433.71042902528757,956331.4960007591,437.12538354122853,955894.3706172178,25511.93147417308,930382.4391430448,01/02/2014,2,February,2014
Small Business,France, Montana , Medium ,-197.0,109.28418482321997,158.0907157757087,-31143.871007814614,4899.928793615001,-36043.79980142962,-21528.984410174337,-14514.81539125528,01/06/2014,6,June,2014
Small Business,Canada, Montana , Medium ,2096.0,260.9812508836756,37.94242083606544,79527.31407239316,3982.4758141735224,75544.83825821964,547016.7018521841,-471471.8635939645,01/01/2013,1,January,2013
Midmarket,Germany, Montana , Medium ,216.0,34.89226202797596,3.8852360361239846,839.2109838027807,20359.135925711067,-19519.924941908288,7536.728598042808,-27056.653539951098,01/11/2013,11,November,2013
Enterprise,Mexico, Paseo , Medium ,1427.0,10.670609711519248,390.13740692195097,556726.079677624,5347.542076074329,551378.5376015498,15226.960058337967,536151.5775432118,01/04/2014,4,April,2014
Government,Germany, Paseo , Medium ,164.0,21.453372535522348,31.58075061759918,5179.243101286265,12014.272181305347,-6835.029080019081,3518.353095825665,-10353.382175844747,01/02/2014,2,February,2014
Government,Germany, Paseo , Medium ,269.0,17.54551341109042,370.4731250110479,99657.27062797188,3570.3620187009833,96086.9086092709,4719.743107583323,91367.16550168759,01/05/2014,5,May,2014
Government,Germany, Paseo , Medium ,576.0,225.57292787189084,126.82515538866024,73051.28950386829,10563.884241527725,62487.405262340566,129930.00645420913,-67442.60119186857,01/03/2014,3,March,2014
Small Business,Mexico, Paseo , Medium ,208.0,3.635409677221287,44.38959551265025,9233.035866631253,5748.580098541264,3484.455768089989,756.1652128620277,2728.2905552279612,01/12/2014,12,December,2014
Government,United States of America, Paseo , Medium ,681.0,16.534705493669016,346.7048385884722,236105.99507874958,2680.9529155011114,233425.04216324846,11260.1344411886,222164.90772205987,01/05/2013,5,May,2013
Government,Germany, Paseo , Medium ,529.0,208.3624932099989,347.51689528242537,183836.437604403,8003.911792158091,175832.52581224492,110223.75890808941,65608.7669041555,01/07/2014,7,July,2014
Government,Germany, Paseo , Medium ,2054.0,36.101361775376354,183.67061986338422,377259.4531993912,5054.5375342135085,372204.9156651777,74152.19708662303,298052.7185785547,01/11/2013,11,November,2013
Government,Germany, Paseo , Medium ,362.0,16.607662949997156,354.9891982036387,128506.08974971721,1213.6818964788524,127292.40785323836,6011.97398789897,121280.4338653394,01/11/2014,11,November,2014
Government,Mexico, Paseo , Medium ,1714.0,226.77962450914458,369.9743396065268,634136.018085587,46178.85510370362,587957.1629818834,388700.2764086738,199256.8865732096,01/02/2014,2,February,2014
Government,Germany, Paseo , Medium ,2255.0,2.3631098640397674,374.81442522526226,845206.5288829664,12301.695337473702,832904.8335454927,5328.812743409676,827576.0208020831,01/11/2014,11,November,2014
Government,Mexico, Paseo , Medium ,1124.0,102.15120890454827,302.9321428432082,340495.72855576605,8433.55010935878,332062.17844640726,114817.95880871225,217244.219637695,01/01/2013,1,January,2013
Government,Mexico, Paseo , Medium ,1412.0,10.462790995413346,371.25913946697574,524217.90492736973,29262.776186535863,494955.12874083384,14773.460885523646,480181.6678553102,01/04/2014,4,April,2014
Channel Partners,Canada, Velo , Medium ,1589.0,6.042810148029125,303.7802164942531,482706.7640093682,23433.847726476255,459272.91628289194,9602.02532521828,449670.89095767366,01/10/2014,10,October,2014
Government,United States of America, Velo , Medium ,1708.0,16.427432126302367,192.10499992636466,328115.33987423085,3070.9199783571603,325044.4198958737,28058.054071724444,296986.3658241492,01/09/2014,9,September,2014
Government,Germany, Velo , Medium ,-174.0,10.666590189523145,425.1889076379118,-73982.86992899666,71131.45773775375,-145114.3276667504,-1855.9866929770271,-143258.3409737734,01/04/2014,4,April,2014
Small Business,France, Velo , Medium ,2561.0,282.779799504111,43.342621441892064,111000.45351268558,30493.21086049063,80507.24265219495,724199.0665300282,-643691.8238778333,01/12/2014,12,December,2014
Small Business,Mexico, Velo , Medium ,72.0,12.217153836687014,98.42439767100059,7086.556632312043,4686.453779224397,2400.1028530876456,879.6350762414651,1520.4677768461806,01/10/2013,10,October,2013
Government,France, VTT , Medium ,-300.0,25.88517910524358,154.86770548286347,-46460.311644859044,13015.233015030157,-59475.5446598892,-7765.553731573074,-51709.990928316125,01/04/2013,4,April,2013
Government,Germany, VTT , Medium ,2753.0,249.79955301070785,176.08918088733253,484773.5149828265,86973.77682684643,397799.73815598007,687698.1694384788,-289898.4312824987,01/02/2013,2,February,2013
Government,France, VTT , Medium ,1405.0,10.786297611381062,434.8509962200373,610965.6496891524,108082.98488087728,502882.66480827506,15154.748143990393,487727.91666428465,01/12/2013,12,December,2013
Government,Germany, VTT , Medium ,2636.0,80.34450937061325,18.830324590502094,49636.73562056352,856.9306314060377,48779.804989157485,211788.12670093653,-163008.32171177905,01/07/2013,7,July,2013
Small Business,Canada, VTT , Medium ,2160.0,262.5834421344204,9.280501742353046,20045.88376348258,1562.5549435144353,18483.328819968145,567180.235010348,-548696.9061903799,01/12/2014,12,December,2014
Small Business,United States of America, VTT , Medium ,373.0,273.7201779127206,405.53211346282524,151263.47832163383,58998.492200391396,92264.98612124243,102097.62636144478,-9832.640240202352,01/05/2014,5,May,2014
Government,Canada, Amarilla , Medium ,1132.0,30.635169384317976,381.74473475624427,432135.0397440685,4916.302891554733,427218.7368525138,34679.01174304795,392539.7251094658,01/12/2013,12,December,2013
Government,United States of America, Amarilla , Medium ,1314.0,281.797310020355,431.38948642005516,566845.7851559524,11591.7507942917,555254.0343616607,370281.6653667464,184972.3689949143,01/08/2013,8,August,2013
Government,Germany, Amarilla , Medium ,623.0,209.3239740843528,423.2712890171741,263698.0130576995,723.0872576820839,262974.92580001743,130408.8358545518,132566.08994546562,01/09/2013,9,September,2013
Small Business,Mexico, Amarilla , Medium ,67.0,17.376178658066916,161.10148827658708,10793.799714531335,12537.563363216505,-1743.7636486851698,1164.2039700904834,-2907.967618775653,01/11/2014,11,November,2014
Government,Germany, Amarilla , Medium ,114.0,135.5683988305278,6.95756185693246,793.1620516903005,6230.139780099147,-5436.977728408847,15454.79746668017,-20891.775195089016,01/07/2014,7,July,2014
Midmarket,Germany, Amarilla , Medium ,2246.0,72.38740091245617,422.2101734165582,948284.0494935897,6076.910371738467,942207.1391218512,162582.10244937657,779625.0366724746,01/04/2014,4,April,2014
Channel Partners,Mexico, Amarilla , Medium ,3059.0,2.2572752643984666,185.13496997061856,566327.8731401222,22156.839344888824,544171.0337952334,6905.00503379491,537266.0287614384,01/10/2014,10,October,2014
Small Business,Mexico, Amarilla , Medium ,1161.0,7.0022218692969345,442.44606586536054,513679.8824696836,5716.761814261614,507963.120655422,8129.579590253741,499833.5410651682,01/01/2014,1,January,2014
Government,United States of America, VTT , Medium ,1183.0,119.69439354198785,1.2655332937294066,1497.125886481888,10117.830476434247,-8620.704589952358,141598.46756017162,-150219.17215012398,01/04/2014,4,April,2014
Small Business,Canada, Carretera , Medium ,1299.0,251.07491577834546,374.1725033233012,486050.0818169683,5785.230792407443,480264.8510245608,326146.3155960707,154118.53542849008,01/06/2013,6,June,2013
Channel Partners,Mexico, Carretera , Medium ,-199.0,232.77324639575866,362.96518013767366,-72230.07084739706,37358.30721120508,-109588.37805860213,-46321.87603275597,-63266.50202584616,01/12/2013,12,December,2013
