Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Government,Germany, Carretera , None ,2187.0,205.57500410810508,109.13128933194858,238670.12976897156,51616.45518557633,187053.67458339524,449592.5339844258,-262538.8594010306,01/11/2013,11,November,2013
Midmarket,France, Carretera , None ,2789.0,13.85023119951915,102.42200805387554,285654.9804622589,4775.3818526740015,280879.5986095849,38628.29481545891,242251.303794126,01/05/2013,5,May,2013
Midmarket,Germany, Carretera , None ,1539.0,258.6919772971016,9.155531020339655,14090.36224030273,8431.185341221062,5659.176899081667,398126.9530602393,-392467.77616115764,01/07/2013,7,July,2013
Government,Germany, Carretera , None ,1485.0,202.4663209309717,7.401624511315443,10991.412399303434,4108.344187135952,6883.068212167482,300662.486582493,-293779.4183703255,01/11/2013,11,November,2013
Midmarket,Germany, Montana , None ,3488.0,17.245424934306183,253.26732860110278,883396.4421606464,29616.089987725372,853780.3521729211,60152.04217085997,793628.3100020611,01/02/2013,2,February,2013
Government,France, Montana , None ,1186.0,23.37081978052022,20.76625024177956,24628.772786750556,949.070389888793,23679.702396861765,27717.79225969698,-4038.089862835215,01/09/2014,9,September,2014
Channel Partners,Germany, Montana , None ,1463.0,267.3229149823482,228.76918147642115,334689.31250000413,2807.1816976492178,331882.1308023549,391093.42461917544,-59211.293816820544,01/05/2014,5,May,2014
Government,Germany, Montana , None ,1801.0,294.4346746607442,29.323622620651605,52811.84433979354,9231.315779328124,43580.52856046542,530276.8490640003,-486696.32050353487,01/10/2013,10,October,2013
Government,Germany, Paseo , None ,737.0,282.7330272418009,34.354492074391,25319.260658826166,30217.56908868152,-4898.308429855355,208374.2410772073,-213272.54950706265,01/06/2013,6,June,2013
Channel Partners,Germany, Paseo , None ,2000.0,25.221853560042064,340.5334918567257,681066.9837134513,6167.3629768536475,674899.6207365977,50443.70712008413,624455.9136165136,01/09/2013,9,September,2013
Midmarket,France, Paseo , None ,759.0,11.403253018169615,10.678998805545042,8105.360093408687,8372.12624720611,-266.7661537974227,8655.069040790737,-8921.835194588159,01/11/2014,11,November,2014
Government,Germany, Paseo , None ,1112.0,265.95295629603896,205.09120575554314,228061.42080016396,4540.169753269047,223521.2510468949,295739.68740119535,-72218.43635430044,01/07/2013,7,July,2013
Enterprise,France, Velo , None ,3131.0,27.518906997999643,13.92656757106298,43604.083064998194,4790.45217907621,38813.630885921986,86161.69781073688,-47348.06692481489,01/01/2013,1,January,2013
Channel Partners,Germany, Velo , None ,4185.0,187.8065582875557,16.753983501779384,70115.42095494672,9347.65636498708,60767.76458995964,785970.4464334206,-725202.681843461,01/05/2014,5,May,2014
Government,Germany, Velo , None ,1040.0,245.25733520056602,10.686669503567437,11114.136283710135,6637.679393762355,4476.45688994778,255067.62860858865,-250591.17171864086,01/06/2014,6,June,2014
Channel Partners,Germany, Velo , None ,3470.0,5.303396382485837,76.79713859762569,266486.07093376113,144409.909100058,122076.16183370314,18402.785447225855,103673.37638647729,01/03/2014,3,March,2014
Channel Partners,Germany, VTT , None ,2219.0,279.9059573196093,230.8653039705925,512290.10951074475,38949.435088543854,473340.6744222009,621111.319292213,-147770.64487001207,01/04/2014,4,April,2014
Midmarket,France, VTT , None ,750.0,204.26483239900227,7.669665285003944,5752.248963752958,8567.227930855493,-2814.9789671025355,153198.6242992517,-156013.60326635424,01/11/2014,11,November,2014
Midmarket,Germany, VTT , None ,988.0,274.84392031627794,291.48406183555676,287986.2530935301,2627.8809402547686,285358.3721532753,271545.7932724826,13812.578880792717,01/10/2014,10,October,2014
Government,France, VTT , None ,2199.0,22.295034547060556,264.1283500560146,580818.2417731761,8825.726269435545,571992.5155037406,49026.78096898616,522965.7345347545,01/02/2013,2,February,2013
Small Business,France, VTT , None ,1552.0,16.980460315863414,242.10180262649692,375741.9976763232,3987.896671419865,371754.1010049034,26353.67441022002,345400.4265946834,01/02/2014,2,February,2014
Government,France, Amarilla , None ,2331.0,12.877659223181183,11.063126068038613,25788.14686459801,4616.98434440722,21171.16252019079,30017.82364923534,-8846.66112904455,01/10/2014,10,October,2014
Enterprise,Germany, Amarilla , None ,1570.0,18.28760999646768,0.02685923037149429,42.168991683246034,87670.90179395936,-87628.73280227612,28711.547694454257,-116340.28049673038,01/09/2013,9,September,2013
Government,France, Amarilla , None ,1077.0,192.4019062684443,313.4510666968239,337586.79883247934,153.98473724479186,337432.81409523456,207216.8530511145,130215.96104412005,01/10/2013,10,October,2013
Government,Germany, Amarilla , None ,2610.0,7.857583709479591,400.0900614305457,1044235.0603337243,33192.95834704017,1011042.1019866841,20508.29348174173,990533.8085049425,01/10/2013,10,October,2013
Government,France, Paseo , Low ,716.0,119.51953265435597,339.5606976476571,243125.45951572247,97994.54678021837,145130.9127355041,85575.98538051888,59554.92735498522,01/12/2014,12,December,2014
Midmarket,France, Paseo , Low ,2525.0,113.06361611759489,318.16893366894175,803376.5575140779,53575.822255895495,749800.7352581824,285485.6306969271,464315.1045612553,01/02/2013,2,February,2013
Government,France, Paseo , Low ,992.0,6.561921595483549,288.95356526958926,286641.93674743257,8958.963167963866,277682.97357946873,6509.4262227196805,271173.54735674907,01/06/2014,6,June,2014
Government,France, Velo , Low ,1276.0,106.3772729025201,23.098014806202563,29473.066892714472,97.49131989506895,29375.575572819405,135737.40022361567,-106361.82465079626,01/11/2014,11,November,2014
Channel Partners,France, Carretera , Low ,2268.0,8.982479248536706,286.40321364497765,649562.4885468093,69569.20569459425,579993.282852215,20372.262935681247,559621.0199165337,01/10/2014,10,October,2014
Channel Partners,Germany, Carretera , Low ,1373.0,109.49183774833119,90.32284654139175,124013.26830133089,92610.79517627007,31402.473125060817,150332.29322845873,-118929.82010339791,01/02/2013,2,February,2013
