Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Government,United States of America, Amarilla , None ,1730.0,16.81022996086068,160.69631857175318,278004.631129133,5498.424159134481,272506.2069699985,29081.697832288977,243424.5091377095,01/01/2014,1,January,2014
Enterprise,United States of America, Carretera , Low ,1007.0,228.6547438582673,0.45660973842831787,459.80600659731607,82539.84651148981,-82080.0405048925,230255.32706527517,-312335.36757016764,01/07/2013,7,July,2013
Enterprise,France, Paseo , Low ,923.0,90.22379672664943,7.324572157581634,6760.580101447848,22872.166851577953,-16111.586750130104,83276.56437869743,-99388.15112882754,01/02/2013,2,February,2013
Government,United States of America, VTT , Low ,1321.0,101.45006945189292,37.29678095252321,49269.047638283155,6093.133597427734,43175.91404085542,134015.54174595056,-90839.62770509513,01/02/2014,2,February,2014
Enterprise,Mexico, Paseo , Low ,465.0,112.14660826580136,301.6311982938815,140258.5072066549,28578.02322964655,111680.48397700835,52148.17284359763,59532.311133410716,01/04/2013,4,April,2013
Midmarket,France, Paseo , Low ,1526.0,234.60503864143874,38.10368764561099,58146.227347202366,5225.284307801363,52920.943039401005,358007.28896683553,-305086.3459274345,01/11/2014,11,November,2014
Government,France, Amarilla , None ,1440.0,143.50784242360206,316.20968352664494,455341.9442783687,27149.53322784051,428192.41105052823,206651.29308998695,221541.11796054128,01/10/2013,10,October,2013
Small Business,Germany, Carretera , Low ,1338.0,299.03977814246156,108.77044319296004,145534.85299218053,31550.478357624204,113984.37463455633,400115.2231546136,-286130.8485200573,01/12/2014,12,December,2014
Small Business,Canada, Amarilla , Low ,-279.0,238.40792594774416,402.2771323378614,-112235.31992226334,2643.624170611826,-114878.94409287517,-66515.81133942062,-48363.132753454556,01/06/2013,6,June,2013
Enterprise,United States of America, Velo , Low ,282.0,247.40417634185778,2.132358415796878,601.3250732547195,55408.23661708816,-54806.91154383344,69767.97772840389,-124574.88927223733,01/08/2013,8,August,2013
Midmarket,Germany, Paseo , Low ,42.0,214.8636359045681,25.20407199918644,1058.5710239658304,138330.97621394316,-137272.40518997732,9024.27270799186,-146296.67789796917,01/06/2014,6,June,2014
Government,United States of America, Carretera , Low ,1920.0,254.25326782773368,145.7160068297789,279774.7331131755,9211.619418351216,270563.1136948243,488166.27422924864,-217603.16053442436,01/09/2014,9,September,2014
Enterprise,France, VTT , Low ,229.0,0.10611218378473097,376.56877018357375,86234.24837203839,2071.3994253130604,84162.84894672532,24.299690086703393,84138.54925663862,01/10/2013,10,October,2013
Channel Partners,Canada, Carretera , Low ,1568.0,255.43598146923446,323.81460669588057,507741.3032991407,2470.8562627092197,505270.44703643146,400523.61894375965,104746.82809267181,01/02/2013,2,February,2013
Government,Germany, Velo , Low ,605.0,20.512187370800344,25.659476127121042,15523.983056908231,3471.597525704452,12052.38553120378,12409.873359334208,-357.48782813042817,01/03/2013,3,March,2013
Government,Germany, Amarilla , Low ,1318.0,101.05818794013314,103.88808815085407,136924.50018282566,7128.383572134655,129796.11661069101,133194.69170509547,-3398.5750944044557,01/06/2014,6,June,2014
